,店舗名,店舗名カナ,郵便番号,住所,電話番号,FAX番号,e-mailアドレス,ホームページアドレス,最寄りの交通機関,営業時間,定休日,業種,店舗緯度,店舗経度,おむつ替え設備,授乳の場,子供用補助便座,妊婦用駐車場,障害者用駐車場,ミルクのお湯を提供,こどもと遊べる場,ベビーカー,利用可能時間
1,A・S・A・K・U・R・A新北店,あさくらしんきたてん,760-0001,香川県高松市新北町29-15,087-834-8384,,,http://www.asakura.com.cn,,時 ～ 時、時 ～ 時、時 ～ 時,月曜日（年始1月1日・2日のみ休み）,,34.354756,134.023736,○,　,○,　,　,　,　,　,9時 ～ 19時、火曜日は9時～18時
2,東温泉&mammyhands,あずまおんせんあんどまみーはんず,760-0067,香川県高松市松福町2-9-11,087-821-7938,087-823-1192,mammyhands2010@yahoo.co.jp,http://mammyhands.jimdo.com/,ことでん志度線「松島2丁目」駅　下車徒歩5分,mammyhands：10時 ～12 時（毎月曜）、東温泉：15時 ～24 時,東温泉のみ　毎週月曜日,"教育, 見る・遊ぶ, 温泉・銭湯",34.342085,134.066995,○,○,　,○,　,○,　,　,10時～24時
3,ありす鍼灸整骨院,ありすしんきゅうせいこついん,761-0434,香川県高松市十川東町83-1　1階,087-814-3966,,alice-ss@aliceplan.com,https://alice-ss.com/,琴電　池戸駅,9時～12時　15時～20時,日曜日、祝日、月末日,理美容・整体,34.269038,134.110,○,○,,,,○,○,,9時～12時　15時～20時
4,安進自動車,あんしんじどうしゃ,761-0313,香川県高松市下田井町529-1,087-847-8707,,anshin20miyuki@yahoo.co.jp,,琴電長尾線　水田駅,9時 ～ 19時,日曜日,車・自転車,34.288794,134.092688,　,　,○,○,○,○,　,　,9時 ～ 19時
5,いいむらファミリー鍼灸整骨院,いいむらふぁみりーしんきゅうせいこついん,760-0006,香川県高松市亀岡町1-62,087-880-8812,,,http://www.iimura-seikotsuin.com,琴電　潟元駅,9時 ～ 12時、15時 ～ 19時,土曜午後、日曜、祝日午後,理美容・整体,34.33794,134.042999,○,○,○,　,　,○,○,○,9時 ～ 12時、15時 ～ 19時
6,イオン綾川店,いおんあやかわてん,761-2304,香川県綾歌郡綾川町萱原822-1,087-876-8000,,,http://www.aeon.jp/sc/ayagawa/,,9時～22時,なし,,34.251716,133.930962,○,○,○,○,　,　,　,　,9時～22時
7,イオン坂出店,いおんさかいでてん,762-0001,香川県坂出市京町1-4-18,0877-45-2111,0877-45-2105,,http://www.aeon.jp/aeon/sakaide/index.html,ＪＲ坂出駅,9時～22時（1Ｆ）、9時～21時（2Ｆ～4Ｆ）,なし,"買う, 食べる, 見る・遊ぶ, 住まい, 理美容・整体, 車・自転車, 複合施設",34.313931,133.857052,○,○,○,○,○,○,○,○,9時～21時
8,イオン高松店,いおんたかまつてん,761-8012,香川県高松市香西本町1番1,087-842-8000,,,,,9時～22時,なし,,34.352014,134.004263,○,○,○,○,　,　,　,　,9時～22時
9,池田保健センター,いけだほけんせんたー,761-4301,香川県小豆郡小豆島町池田2071-2,0879-75-0200,,,,,8時30分～17時15分,日曜日・祝日・年末年始,,34.482315,134.233404,○,　,○,○,　,　,　,　,8時30分～17時15分
10,一般社団法人ワールド・インスペクションの『まっしゅ・るーむ』,いっぱんしゃだんほうじんわーるど・いんすぺくしょんの『まっしゅ・るーむ』,760-0053,香川県高松市田町5-7　大住ビル101,087-813-3435,087-813-3440,wi-info@eos.ocn.ne.jp,http://w-inspection.com,ことでん瓦町駅　JR栗林駅,10時 ～ 18時,土曜日・日曜日・祝祭日・年末年始・お盆,"住まい, 通信・情報",34.335418,134.048305,○,○,○,　,　,○,○,　,10時 ～ 18時
11,特定非営利活動法人いのちの応援舎,いのちのおうえんしゃ,761-0101,香川県高松市春日町1176,087-843-8255,,,http://www7.ocn.ne.jp/~inochi/about.html,,8時30分～17時,土曜日・日曜日・祝日,,34.33237,134.097137,○,○,○,○,　,　,　,　,8時30分～17時
12,イミテーションブルー,いみてーしょんぶるー,761-2204,香川県綾歌郡綾川町山田下3184-1,087-878-3255,020-4623-3568,info@rtc-net.org,http://imb.rtc-net.org/,琴電　陶駅,10時 ～ 18時、10時 ～ 12時,日曜午後・火曜・木曜,"買う, 車・自転車",34.222273,133.952837,○,○,　,○,○,○,　,　,10時 ～ 18時、10時 ～ 12時
13,癒しの里さらい,いやしのさとさらい,762-0053,香川県坂出市西大浜北1-1-22,0877-59-2626,,,http://www.iyashi-sarai.jp/,,10時～25時,年中無休（年4回だけ施設メンテナンスのため休館）,,34.321968,133.845283,○,　,○,○,　,　,　,　,10時～25時
14,魚神,うおしん,761-0101,香川県高松市春日町字南免170-1,087-841-0001,,,,,時 ～ 時、時 ～ 時、時 ～ 時,水曜日（祝日の場合は営業、翌日休み）,,34.31871,134.092961,　,　,○,○,　,　,　,　,11時～14時、17時～22時
15,うたづ海ホタル,うたづうみほたる,769-0201,香川県綾歌郡宇多津町浜一番丁4番地,0877-49-0860,,,http://www.uplaza-utazu.jp/umihotaru/,,9時～21時,月曜日・12月28日～翌1月4日,,34.313286,133.807918,○,○,○,○,　,　,　,　,9時～21時
16,宇多津グランドホテル,うたづぐらんどほてる,769-0203,香川県綾歌郡宇多津町浜三番丁22-1,0877-41-1000,,,http://www.sakaide-grandhotel.jp/utazu/index.html,,24時間,無休,,34.312956,133.814608,○,　,○,○,　,　,　,　,24時間
17,宇多津町サポートセンター,うたづさぽーとせんたー,769-0205,香川県綾歌郡宇多津町浜五番丁49番地7,0877-41-0516,,,,,9時～17時,日曜日・祝日・12月29日～翌1月3日,,34.305685,133.813663,○,○,○,○,　,　,　,　,9時～17時
18,宇多津町福祉センター,うたづちょうふくしせんたー,769-0210,香川県綾歌郡宇多津町1900番地,0877-49-0287,,,,,8時30分～17時,土曜日・日曜日・祝日・12月29日～翌1月3日,,34.309261,133.824687,○,○,　,　,　,　,　,　,8時30分～17時
19,宇多津町やすらぎプラザ,うたづちょうやすらぎぷらざ,769-0210,香川県綾歌郡宇多津町1188番地,0877-41-0665,,,,,9時～17時,日曜日・祝日・12月29日～翌1月3日,,34.305725,133.829241,○,　,　,○,　,　,　,　,9時～17時
20,内海フェリー株式会社,うちのみふぇりー,761-4432,香川県小豆郡小豆島町草壁本町1053-3,0879-82-1080,,,http://www.uchinomi-ferry.co.jp,,6時30分～21時,年中無休,,34.479137,134.298998,○,　,○,　,　,　,　,　,6時30分～21時
