駅名,所在地,緯度,経度,電話番号,駐車場,お手洗,身障者用設備,電話,物産販売所・農林水産直売所,レストラン,喫茶・軽食,休憩所,情報提供設備,公園,ベビーベッド,展望台,劇場舞台・美術館等文化施設,温泉保養施設,運動所,宿泊施設,キャンプ場,ガソリンスタンド,シャワー,ポスト,体験施設,マリーナ,急速充電器,調査年,調査月
瀬戸大橋記念公園,香川県坂出市番の州緑町6-13,34.352688,133.826126,0877-45-2344,○,○,○,○,○,,○,○,○,○,○,○,○,,,,,,,,,,○,2016,11
津田の松原,香川県さぬき市津田町津田103-3,34.285254,134.253267,0879-42-5520,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,2016,11
ことひき,香川県観音寺市有明町3番37号,34.130624,133.643711,0875-24-2150,○,○,○,○,○,○,○,○,○,○,,○,○,,○,,,,,,,,,2016,11
ふれあいパークみの,香川県三豊市三野町大見乙74番地,34.226349,133.722854,0875-72-5300,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,,,,○,,,,2016,11
小豆島オリーブ公園,香川県小豆郡小豆島町西村甲1941番地1,34.472861,134.273694,0879-82-2200,○,○,○,○,○,○,○,○,○,○,○,,,○,,○,,,,○,○,,○,2016,11
小豆島ふるさと村,香川県小豆郡小豆島町室生2084-1,34.471185,134.23623,0879-75-2266,○,○,○,○,○,,○,○,○,○,,○,○,,○,○,○,,○,○,○,○,○,2016,11
空の夢もみの木パーク,香川県仲多度郡まんのう町追上424-1,34.154912,133.821619,0877-75-1994,○,○,○,○,○,○,,○,○,○,,○,,,,,,,,○,,,,2016,11
みろく,香川県さぬき市大川町富田中3298番地1,34.258188,134.242455,0879-43-0550,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,○,2016,11
しおのえ,香川県高松市塩江町安原上東字塩江390番地21,34.170345,134.082046,087-893-1378,○,○,○,○,○,,,○,○,,,,,,,,,,,○,,,○,2016,11
滝宮,香川県綾歌郡綾川町滝宮字川西1578番地,34.249768,133.917361,087-876-5018,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,○,○,,,2016,11
ことなみ,香川県仲多度郡まんのう町川東2355-1,34.094997,134.007559,0877-56-0015,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,,,,,2016,11
恋人の聖地　うたづ臨海公園,香川県綾歌郡宇多津町浜一番丁4番地,34.313395,133.807817,0877-49-0860,○,○,○,○,○,○,,○,○,○,○,○,,,,,,,,,○,,○,2016,11
とよはま,香川県観音寺市豊浜町箕浦字大西甲2506番地,34.042725,133.601411,0875-56-3655,○,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,,,○,2016,11
たからだの里さいた,香川県三豊市財田町財田上180番地6,34.110164,133.797957,0875-67-2614,○,○,○,○,○,,○,○,○,○,,○,,○,○,○,,,,○,,,○,2016,11
大坂城残石記念公園,香川県小豆郡土庄町小海甲909番地1,34.533938,134.242274,0879-65-2865,○,○,○,○,○,,○,○,○,,,,,,,,,,,,,○,,2016,11
ながお,香川県さぬき市前山940番12,34.221308,134.175014,0879-52-1022,○,○,○,○,○,,,○,○,○,,,,,,,,,,,,,○,2016,11
香南楽湯,香川県高松市香南町横井997-2,34.239366,134.007315,087-815-8585,○,○,○,○,○,○,○,○,○,,○,,,○,,,,,,○,,,○,2016,11
源平の里むれ,香川県高松市牟礼町原631番地7,34.333726,134.157495,087-845-6080,○,○,○,○,○,○,,○,○,○,○,,,,,,,,,,,,○,2016,11
